fk_parent,Manual_Level,Auto_Level,English,Hanzi,Pinyin
-1,8.0,63.0,cooking,烹调,pēngtiáo
-1,8.0,20.0,dancing,跳舞,tiàowǔ
-1,8.0,40.0,reading,阅读,yuèdú
-1,8.0,22.0,singing,歌唱,gēchàng
-1,8.0,10.0,sleeping,睡觉,shuìjiào
-1,8.0,20.0,swimming,游泳,yóuyǒng
-1,8.0,20.0,travelling,旅游,lǚyóu
-1,8.0,40.0,badminton,羽毛球,yǔmáoqiú
-1,8.0,42.0,baseball,棒球,bàngqiú
-1,8.0,22.0,basketball,篮球,lánqiú
-1,8.0,100.0,football,橄榄球,gǎnlǎnqiú
-1,8.0,40.0,table tennis,乒乓球,pīngpāng qiú
-1,8.0,40.0,tennis,网球,wǎngqiú
-1,8.0,42.0,volleyball,排球,páiqiú
-1,8.0,45.0,golf,高尔夫球,gāo'ěrfū qiú
-1,8.0,30.0,music,音乐,yīnyuè
