fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
-1,100,31,,designer,设计 师,shèjì shī,
-1,100,215,,gardener,花 匠,huā jiàng,
-1,100,40,,lawyer,律师,lǜshī,
-1,100,36,,poet,诗人,shīrén,
-1,100,54,,pharmacist,药剂 师,yàojì shī,
-1,100,50,,engineer,工程师,gōngchéngshī,
-1,100,50,,farmer,农民,nóngmín,
-1,100,55,,plumber,水管 工人,shuǐguǎn gōngrén,
-1,100,96,,bounty hunter,赏 金 猎人,shǎng jīn lièrén,
-1,100,12,,electrician,电工,diàngōng,
-1,100,30,,mechanic,技工,jìgōng,
-1,100,26,,barber,理发 师,lǐfǎ shī,
-1,100,110,,professional poker player,职业 扑克 选手,zhíyè pūkè xuǎnshǒu,
-1,100,72,,burglar,窃贼,qièzéi,
-1,100,37,,salesperson,销售 员,xiāoshòu yuán,
-1,100,40,,nurse,护士,hùshì,
-1,100,66,,firefighter,消防 队员,xiāofáng duìyuán,
-1,100,10,,doctor,医生,yīshēng,
-1,100,46,,delivery person,送 货 员,sòng huò yuán,
-1,100,30,,chemist,化学 家,huàxué jiā,
-1,100,30,,chef,厨师,chúshī,
-1,100,230,,carpenter,木匠,mùjiàng,
-1,100,35,,astronaut,太空 人,tàikōng rén,
-1,100,54,,artist,艺术家,yìshùjiā,
-1,100,31,,architect,建筑 师,jiànzhú shī,
-1,100,40,,police officer,警察,jǐngchá,
-1,100,54,,radio announcer,播音 员,bòyīn yuán,
-1,100,30,,sailor,船员,chuányuán,
-1,100,50,,secretary,秘书,mìshū,
-1,100,36,,soccer player,足 球员,zúqiú yuán,
-1,100,10,,teacher,老师,lǎoshī,
-1,100,206,,welder,焊接 工,hànjiē gōng,
-1,100,10,,student,学生,xuéshēng,
