fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
food_type.vegetable,100,40,,tomato,西红柿,xīhóngshì,
food_type.vegetable,100,50,,corn,玉米,yùmǐ,
food_type.vegetable,100,50,,potato,土豆,tǔdòu,
food_type.vegetable,100,206,,broccoli,西兰花,xī lánhuā,
food_type.vegetable,100,30,,cucumber,黄瓜,huángguā,
food_type.vegetable,100,200,,mushroom,蘑菇,mógū,
food_type.vegetable,100,60,,green pepper,请教,qǐngjiào,
food_type.vegetable,100,242,,radish,萝卜,luóbo,
food_type.vegetable,100,18,,cabbage,白菜,báicài,
food_type.vegetable,100,48,,spinach,菠菜,bōcài,
food_type.vegetable,100,30,,pumpkin,南瓜,nánguā,
food_type.vegetable,100,200,,bamboo shoot,笋,sǔn,
food_type.vegetable,100,200,,scallion,葱,cōng,
food_type.vegetable,100,200,,eggplant,茄子,qiézi,
