fk_parent,Manual_Level,Auto_Level,English,Hanzi,Pinyin
-1,8,41,USA,美国,měiguó
-1,6,10,China,中国,zhōngguó
-1,6,31,France,法国,fàguó
-1,6,51,Germany,德国,déguó
-1,6,105,Ireland,爱尔兰,ài'ěrlán
-1,6,43,Italy,意大利,yìdàlì
-1,6,51,Brazil,巴西,bāxī
-1,6,100,Egypt,埃及,āijí
-1,6,44,India,印度,yìndù
-1,6,21,Japan,日本,rìběn
-1,6,54,North Korea,北朝鲜,běi cháoxiǎn
-1,6,100,South Korea,韩国,hánguó
-1,6,63,Mexico,墨西哥,mòxīgē
-1,6,107,Russia,俄罗斯,èluósī
-1,6,33,Spain,西班牙,xībānyá
-1,6,34,Canada,加拿大,jiānádà
-1,6,51,United Kingdom,英国,yīngguó
